Date,Price,Open,High,Low,Vol.,Change %,log_return
2015-08-03,5115.38,5134.34,5143.08,5082.32,411240000.0,-0.25,0.0
2015-08-04,5105.55,5110.96,5125.9,5092.46,419370000.0,-0.19,-0.0019235046186227298
2015-08-05,5139.94,5132.77,5175.26,5131.86,452960000.0,0.67,0.006713222921588109
2015-08-06,5056.44,5146.62,5149.93,5035.41,511220000.0,-1.62,-0.016378727872662174
2015-08-07,5043.54,5043.97,5055.56,5006.15,465430000.0,-0.26,-0.0025544618929285593
2015-08-10,5101.8,5081.72,5112.47,5081.11,435820000.0,1.16,0.011485202156064585
2015-08-11,5036.79,5069.16,5089.33,5013.44,451200000.0,-1.27,-0.012824444226290971
2015-08-12,5044.39,4994.52,5055.75,4945.79,474100000.0,0.15,0.001507760289923023
2015-08-13,5033.56,5050.94,5071.46,5029.61,376050000.0,-0.21,-0.002149247449905158
2015-08-14,5048.23,5025.92,5051.89,5012.61,343630000.0,0.29,0.002910199548625707
2015-08-17,5091.7,5032.34,5092.69,5022.42,360390000.0,0.86,0.008574076212947306
2015-08-18,5059.35,5082.18,5085.14,5054.97,347370000.0,-0.64,-0.006373746463113622
2015-08-19,5019.05,5039.03,5060.93,4992.85,399250000.0,-0.8,-0.007997343782822857
2015-08-20,4877.49,4973.49,4986.51,4877.49,477700000.0,-2.82,-0.028609929484651617
2015-08-21,4706.04,4801.04,4856.75,4706.04,716260000.0,-3.52,-0.035783953225823464
2015-08-24,4526.25,4351.61,4694.9,4292.14,926380000.0,-3.82,-0.038953007958839214
2015-08-25,4506.49,4687.27,4689.54,4506.1,657530000.0,-0.44,-0.004375202102823982
2015-08-26,4697.54,4633.51,4703.97,4530.03,633100000.0,4.24,0.04152038744198209
2015-08-27,4812.71,4761.05,4818.71,4721.79,590550000.0,2.45,0.02422136758862861
2015-08-28,4828.32,4792.11,4836.78,4788.38,509590000.0,0.32,0.0032382460465001646
2015-08-31,4776.51,4798.68,4824.61,4763.42,498170000.0,-1.07,-0.010788426763098595
2015-09-01,4636.1,4673.61,4722.13,4614.91,582680000.0,-2.94,-0.029836658744792067
2015-09-02,4749.98,4704.42,4749.98,4659.41,472710000.0,2.46,0.0242669119472596
2015-09-03,4733.5,4763.1,4800.19,4721.91,434440000.0,-0.35,-0.0034755209245608196
2015-09-04,4683.92,4670.35,4712.67,4657.82,378950000.0,-1.05,-0.010529520416492626
2015-09-08,4811.93,4769.72,4815.04,4754.89,445730000.0,2.73,0.026962884870389496
2015-09-09,4756.53,4856.27,4862.88,4746.73,460530000.0,-1.15,-0.011579840237596267
2015-09-10,4796.25,4749.96,4826.33,4746.52,444140000.0,0.84,0.008315951775915586
2015-09-11,4822.34,4770.73,4822.34,4763.15,396560000.0,0.54,0.005424924855988145
2015-09-14,4805.76,4831.98,4832.0,4791.08,358080000.0,-0.34,-0.0034440889456859736
2015-09-15,4860.52,4819.32,4872.35,4802.09,353270000.0,1.14,0.011330229584197387
2015-09-16,4889.24,4860.44,4893.44,4848.15,382590000.0,0.59,0.005891444111533138
2015-09-17,4893.95,4884.11,4960.87,4880.5,444770000.0,0.1,0.0009628761914873988
2015-09-18,4827.23,4828.71,4878.71,4819.09,1360000000.0,-1.36,-0.013726944190300405
2015-09-21,4828.95,4851.98,4881.46,4795.91,453540000.0,0.04,0.00035624854097404543
2015-09-22,4756.72,4762.29,4776.28,4716.91,477770000.0,-1.5,-0.015070697635874184
2015-09-23,4752.74,4764.69,4780.64,4735.13,365130000.0,-0.08,-0.0008370612489857405
2015-09-24,4734.48,4717.89,4746.21,4670.12,481390000.0,-0.38,-0.003849393720772896
2015-09-25,4686.5,4782.41,4785.22,4659.48,501800000.0,-1.01,-0.0101858649171825
2015-09-28,4543.97,4665.06,4665.21,4529.41,558000000.0,-3.04,-0.030884955920023296
2015-09-29,4517.32,4551.04,4596.06,4487.06,548610000.0,-0.59,-0.005882181641008001
2015-09-30,4620.16,4574.38,4620.16,4559.18,623880000.0,2.28,0.022510438885232176
2015-10-01,4627.08,4624.46,4628.23,4559.21,501350000.0,0.15,0.0014966630674089732
2015-10-02,4707.77,4566.13,4707.77,4552.34,510640000.0,1.74,0.01728833559252688
2015-10-05,4781.26,4742.13,4785.91,4740.24,490220000.0,1.56,0.015489774905249536
2015-10-06,4748.36,4767.63,4783.37,4711.79,471980000.0,-0.69,-0.0069048148221816244
2015-10-07,4791.15,4775.05,4791.15,4728.71,522590000.00000006,0.9,0.008971170843089259
2015-10-08,4810.79,4775.06,4819.07,4737.93,441400000.0,0.41,0.004090845681110227
2015-10-09,4830.47,4817.28,4841.38,4804.59,404830000.0,0.41,0.004082459623122672
2015-10-12,4838.64,4839.79,4846.74,4818.16,316990000.0,0.17,0.001689918088498298
2015-10-13,4796.61,4809.24,4858.28,4793.92,354140000.0,-0.87,-0.008724271105600125
2015-10-14,4782.85,4801.35,4820.09,4771.62,435240000.0,-0.29,-0.0028728152658950745
2015-10-15,4870.1,4799.43,4870.1,4795.29,445820000.0,1.82,0.018077867628651288
2015-10-16,4886.69,4872.36,4886.95,4851.28,494940000.0,0.34,0.0034007119120919513
2015-10-19,4905.47,4873.54,4915.49,4865.83,380430000.0,0.38,0.0038357263413836876
2015-10-20,4880.97,4900.02,4909.37,4866.6,387510000.0,-0.5,-0.005006938413437985
2015-10-21,4840.12,4903.98,4904.85,4836.46,431970000.0,-0.84,-0.008404456795003245
2015-10-22,4920.05,4875.96,4926.99,4861.8,505000000.0,1.65,0.016379179244584822
2015-10-23,5031.86,5024.38,5048.55,4999.54,509630000.0,2.27,0.022471004017311374
2015-10-26,5034.7,5030.8,5045.16,5012.74,418690000.0,0.06,0.0005642444043143998
2015-10-27,5030.15,5018.99,5040.08,5009.07,455960000.0,-0.09,-0.0009041367352628372
2015-10-28,5095.69,5040.38,5095.69,5019.6,493380000.0,1.3,0.012945279653834631
2015-10-29,5074.27,5071.04,5084.63,5066.89,426890000.0,-0.42,-0.004212412177387728
2015-10-30,5053.75,5079.76,5085.22,5053.75,509290000.0,-0.4,-0.00405213024417047
2015-11-02,5127.15,5065.64,5130.51,5061.47,427280000.0,1.45,0.014419407276111651
2015-11-03,5145.13,5114.31,5163.47,5109.68,446940000.0,0.35,0.0035006869676033497
2015-11-04,5142.48,5155.62,5162.57,5122.78,466940000.0,-0.05,-0.0005151828381154734
2015-11-05,5127.74,5144.15,5154.86,5098.49,456550000.0,-0.29,-0.0028704370735464736
2015-11-06,5147.12,5124.04,5147.12,5092.87,471930000.0,0.38,0.003772318646107376
2015-11-09,5095.3,5128.94,5133.44,5066.1,436180000.0,-1.01,-0.01011878875361533
2015-11-10,5083.24,5068.55,5086.89,5051.22,432610000.0,-0.24,-0.00236969263637428
2015-11-11,5067.02,5098.12,5111.19,5066.68,366710000.0,-0.32,-0.0031959799662884254
2015-11-12,5005.08,5043.1,5062.49,5004.46,395740000.0,-1.22,-0.012299476939300984
2015-11-13,4927.88,4980.86,4989.06,4925.35,444550000.0,-1.54,-0.015544521370038701
2015-11-16,4984.62,4916.14,4984.91,4908.66,416850000.0,1.15,0.011448296536803357
2015-11-17,4986.02,4991.71,5023.45,4975.74,418580000.0,0.03,0.00028082450257987626
2015-11-18,5075.2,5004.6,5078.8,5001.67,451440000.0,1.79,0.017727936693567706
2015-11-19,5073.64,5078.68,5092.46,5067.27,388350000.0,-0.03,-0.00030742429918807665
2015-11-20,5104.92,5096.96,5112.46,5094.31,429760000.0,0.62,0.006146271863818175
2015-11-23,5102.48,5106.72,5128.08,5084.85,386570000.0,-0.05,-0.0004780845360180343
2015-11-24,5102.81,5070.66,5110.75,5050.14,417560000.0,0.01,6.46723415240229e-05
2015-11-25,5116.14,5106.87,5124.09,5101.18,343280000.0,0.26,0.0026088800827119623
2015-11-27,5127.52,5121.93,5134.35,5108.51,189350000.0,0.22,0.002221863021930361
2015-11-30,5108.67,5139.58,5141.36,5098.7,616310000.0,-0.37,-0.0036830151272537557
2015-12-01,5156.31,5129.64,5156.31,5120.17,463400000.0,0.93,0.009282111030927064
2015-12-02,5123.22,5158.82,5176.77,5117.15,450130000.0,-0.64,-0.006438059774031215
2015-12-03,5037.53,5143.15,5144.6,5011.72,486600000.0,-1.67,-0.016867265032701372
2015-12-04,5142.27,5050.93,5147.0,5043.49,440750000.0,2.08,0.0205787336265641
2015-12-07,5101.81,5139.46,5139.78,5082.23,436580000.0,-0.79,-0.007899237488359877
2015-12-08,5098.24,5050.52,5111.73,5045.73,417620000.0,-0.07,-0.000699996597227292
2015-12-09,5022.86,5077.21,5106.36,5000.12,442490000.0,-1.48,-0.014895889541317986
2015-12-10,5045.17,5026.3,5075.65,5019.31,388230000.0,0.44,0.004431857377570373
2015-12-11,4933.47,4979.77,4996.19,4928.67,475110000.0,-2.21,-0.02238875554633566
2015-12-14,4952.23,4932.61,4953.6,4871.59,496830000.0,0.38,0.0037953857632209544
2015-12-15,4995.36,4991.21,5026.54,4986.99,449300000.0,0.87,0.008671501391351207
2015-12-16,5071.13,5033.48,5078.99,4992.63,443740000.0,1.52,0.015054190878001287
